Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,replicate,sample_acc,Sample Name,SRA Study,treatment
SRR10007909,AMPLICON,484,PRJNA561262,SAMN12612789,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746258,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day2.R1,PAIRED,PCR,METAGENOMIC,25,10,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296590,Con.Day3.Rep1.83,SRP218944,Con.Day2
SRR10007910,AMPLICON,484,PRJNA561262,SAMN12612788,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746257,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day1.R1,PAIRED,PCR,METAGENOMIC,30,12,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296589,Con.Day2.Rep1.69,SRP218944,Con.Day1
SRR10007911,AMPLICON,482,PRJNA561262,SAMN12612834,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746256,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-NA_16S.Day11.R4,PAIRED,PCR,METAGENOMIC,40,16,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep4,SRS5296588,Con.Day12.Rep4.101,SRP218944,Con.Day11
SRR10007912,AMPLICON,484,PRJNA561262,SAMN12612783,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746255,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day3.R1,PAIRED,PCR,METAGENOMIC,64,26,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296587,ASD.Day4.Rep1.49,SRP218944,ASD.Day3
SRR10007913,AMPLICON,485,PRJNA561262,SAMN12612782,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746254,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day2.R1,PAIRED,PCR,METAGENOMIC,35,14,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296586,ASD.Day3.Rep1.35,SRP218944,ASD.Day2
SRR10007914,AMPLICON,485,PRJNA561262,SAMN12612781,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746253,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day1.R1,PAIRED,PCR,METAGENOMIC,46,18,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296585,ASD.Day2.Rep1.40,SRP218944,ASD.Day1
SRR10007915,AMPLICON,484,PRJNA561262,SAMN12612780,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746252,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day0.R1,PAIRED,PCR,METAGENOMIC,67,27,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296584,ASD.Day1.Rep1.24,SRP218944,ASD.Day0
SRR10007917,AMPLICON,484,PRJNA561262,SAMN12612786,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746250,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day15.R1,PAIRED,PCR,METAGENOMIC,58,23,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296582,ASD.Day16.Rep1.22,SRP218944,ASD.Day15
SRR10007918,AMPLICON,484,PRJNA561262,SAMN12612785,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746249,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day11.R1,PAIRED,PCR,METAGENOMIC,52,21,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep1,SRS5296581,ASD.Day12.Rep1.37,SRP218944,ASD.Day11
SRR10007920,AMPLICON,482,PRJNA561262,SAMN12612808,Metagenome or environmental,UNITED STATES DEPARTMENT OF AGRICULTURE-AGRICULTURAL RESEARCH SERVICE,15-Oct-2015/10-Nov-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6746247,USA,North America,USA:Washington,not applicable,Illumina MiSeq,soil,47.56235 N 120.24499 W,ASD-RB_16S.Day0.R3,PAIRED,PCR,METAGENOMIC,34,14,soil metagenome,ILLUMINA,2019-08-21T00:00:00Z,Rep3,SRS5296579,ASD.Day1.Rep3.48,SRP218944,ASD.Day0
